depth (ft),WOB (lbf),RPM,ROP_data ft/hr
1180.2875,24401.625,81.3375,31.0375
1202.9501,25613,70.9875,23.0875
1216.775,28114.125,70.9625,28.0125
1226.9625,21317.625,96.75,9.4375
1227,21419.375,94.1,21.225
1227.0375,21607.125,94.875,35.175
1235.625,21473.75,66.975,8.9125
1238.8251,25619.875,81.6125,17.375
1239.7001,17048.25,97.525,11.975
1239.7626,18312.375,97.3875,31.5125
1240.075,23241,96.9625,6.7875
1240.125,22579.125,96.9,21.0375
1240.3,25029,97.9875,44.4125
1248.55,19512.5,94.7,5.0875
1248.6375,19173.875,95.65,24.9125
1248.7001,19254.125,95.8375,26.025
1248.775,20444.75,94.3875,30.0625
1248.8,20294.875,94.45,38.95
1248.925,20126.125,94.9375,17.25
1249,20354.875,96.4125,23.7125
1249.1,20570.25,97.6875,40.0875
1249.3125,19591.125,96,8.6375
1249.4,19852.125,96.4,12.575
1249.5,21329.5,94.825,16.7125
1249.6375,21771.875,95.0625,40.6375
1249.8251,22270.5,96.325,33.9375
1249.9625,23630.5,97.5625,34.25
1254.4,26984.75,76.3,24.4875
1261.6625,26567.625,77.4625,12.75
1265.05,20494.25,98.125,8.125
1271.7125,18824.875,101.2,21.7125
1274.175,28639.75,74.9875,19.425
1295.0875,30165,81.6375,28.225
1303.8625,18551.625,100.7625,37.55
1305.0625,28186.5,80.2375,12.5875
1332.9125,20663.625,102.4625,13.125
1333.175,18688.5,47.2125,37.1375
1333.3,19721.5,46.3,45.6375
1333.625,21540.25,46.975,5.7125
1333.7001,29267.5,42.4125,7.6625
1333.9,17555,46.4375,11.875
1334.3625,20003.625,94.575,9.9875
1334.4,19960,93.5125,10.7375
1334.4375,19882.75,100.4625,14.5375
1334.5,19820.875,99.6625,14.875
1334.525,20283,99.3875,24.5
1334.6,20303.25,99.0375,23.6875
1334.675,21049.875,97.525,21.4375
1334.7001,20712.25,97.8125,21.5625
1334.8,21118.625,98.1,27.6
1334.9,21537,99.5375,29.1125
1334.9625,21991,98.875,31.9375
1335,22254.75,98.3,32.0625
1335.025,22428.625,97.3625,31.4125
1335.1,22335.75,96.2625,30.85
1335.175,22338.625,96.3125,32.8875
1335.2001,22600.375,96.5875,32.1
1335.25,23369.125,96.275,36.0875
1335.3,24512.875,96.9,39.125
1335.3251,25453.625,92.4,48.9875
1335.4125,25977.125,99.65,47.225
1335.5,25966.125,96.1375,47.7625
1335.675,25741.625,90.7375,46.9125
1335.7876,26286.5,95.975,44.2375
1335.8,26093.75,89.9625,44.3625
1335.875,26333.5,80.9875,40.375
1335.9,26015.625,84.275,39.2375
1335.9625,26500.25,91.9375,42.4125
1336,26148,97.0625,43.925
1336.1,20654,103.2375,21.225
1336.1626,21857.875,101.3625,35.675
1336.2001,21940.25,101.35,34.675
1336.2125,21887,100.4625,25.925
1336.3,22245.625,101.1625,26.3875
1336.3375,22547.875,100.4625,34.125
1336.4,22804.5,97.6625,33.1625
1336.4875,23778.625,97.9375,34.625
1336.5,23739.25,94.8875,35.475
1336.575,24297.875,101.5125,33.95
1336.6,24132,99.225,34.4125
1336.7001,24474.375,98.25,33.6875
1336.8,24730.75,98.2875,30.05
1336.8876,25056.75,97.2,36.525
1336.9,25755.625,93.825,37.2125
1336.9875,27117.875,85.775,44.325
1337,26958.875,91.05,43.575
1337.05,27064,97.675,25.575
1337.1,27150.25,96.4125,25.05
1337.1375,24471.125,99.2125,20.8
1337.2001,24817.125,99.65,22.2625
1337.2375,23844.75,100.2875,22.5625
1337.3,23432.5,100.5875,22.8125
1337.4,23631.625,100.45,26.3625
1337.575,22856.625,101.1875,20.1375
1337.6,22932.5,101.675,18.9625
1337.625,22632.25,100.725,21.0625
1337.7001,22460.125,101.8375,23.9375
1337.7876,22487.125,97.6625,34.8875
1337.8,22729.75,99.225,35.4
1337.9,22709.625,98.2875,34.175
1337.9625,22698.875,99.0625,31.475
1338,22535.875,101.8125,29.6625
1338.05,22727.125,98.575,40.0375
1338.1,23012.5,97.3625,41.35
1338.2001,22486.625,100.475,30.025
1338.3251,21008.375,100.425,14.3125
1338.4,20996,100.7875,14.3125
1338.4375,20607.75,102.525,27.4625
1338.5,21088.125,100.425,30.5
1338.525,22372.125,100.2875,37.6875
1338.6,22204,100.175,36.65
1338.675,22277.875,99.875,36.25
1338.7001,23188,97.7625,37.625
1338.75,22667.875,96.1375,44.4125
1338.8,23327.125,98.525,44.975
1339.2001,23189.5,93.1625,42.8375
1339.2876,24532.75,88.9625,39.2125
1339.3,24953.375,85.2625,42.325
1339.3375,25014.375,96.8625,42.125
1339.4,24337.75,94.6375,40.15
1339.4625,24213.625,80.8875,42.2625
1339.5,23723,80.3875,41.3125
1339.55,24227,82.9875,38.85
1339.6,24931.25,81.7875,39.65
1339.675,24132,77.75,45.175
1339.7001,24828,78.2375,46.2
1339.775,25204.625,80.0625,42.5
1339.8,25751.5,80.7,40.75
1339.8625,24782.625,82.2375,41.925
1339.9,25679,80.8375,41.2875
1339.95,25788.875,84.8875,35.8375
1340,25478.75,86.5625,34.45
1340.025,25440.25,87.3,37.6125
1340.1,25947.5,89.8375,38.7375
1340.1626,23026,97.375,12.8
1340.2001,22475.625,97.8375,12.85
1340.2375,22788,232.8625,7.15
1340.3,22755.375,40.25,8.1125
1340.4,27486.5,91.35,21.3
1340.45,27510.875,91.425,22.325
1340.5,28008.25,91.3125,22.7
1340.55,27587.125,96.275,26.425
1340.6,28068.25,95.8,27.75
1340.6125,27580.875,92.725,26.525
1340.7001,27687.625,93.525,26.8625
1340.75,27607,95.5375,21.4875
1340.8,27886.25,97.1875,21.325
1340.8876,27794.875,97.075,17.5875
1340.9,27651.5,97.7125,17.3625
1340.9875,27963.375,91.1,19.625
1341,27638.875,93.4625,21.1375
1341.075,28485,91.475,20.1875
1341.1,28355.25,94.4125,20.175
1341.1375,28282.375,97.075,22.275
1341.2001,28495.75,92.4125,22.775
1341.2876,28384.125,93.55,22.6125
